Sample ID	Contig	RGI cutoff	Gene Name	Percentage identity	ARO	Other genes on same contig	Top BlastN Hit against nr-nt	Top Kmer hits
UC-9-1	NODE_290_length_1466_cov_168.931963_1	Strict	ErmF	99.62	3000498	None	Uncultured bacterium clone AX128_08E_000_Contig_22 genomic	Bacteroides (chromosome or plasmid): 98
UC-9-2	NODE_117_length_1154_cov_1033.116470_1	Strict	ErmF	99.62	3000498	None	Parabacteroides distasonis strain FDAARGOS_615 chromosome	Bacteroides (chromosome or plasmid): 457
RT-8-1	NODE_45_length_1154_cov_24.895359_1	Strict	ErmF	97.74	3000498	None	Bacteroides thetaiotaomicron strain VPI-BTDOT2 chromosome   	Bacteroides (chromosome or plasmid): 4
RT-8-2	NODE_53_length_1370_cov_33.420532_1	Strict	ErmF	97.74	3000498	None	Bacteroides thetaiotaomicron strain VPI-BTDOT2 chromosome	Bacteroides (chromosome or plasmid): 17
UC-11-2	NODE_14_length_3778_cov_9.103411_2	Strict	ErmF	98.5	3000498	tetQ	"Bacteroides fragilis strain BFG-584 chromosome, complete genome"	None
UC-12-2	NODE_22_length_3249_cov_109.316844_1	Strict	ErmF	99.25	3000498	None	"Bacteroides fragilis strain BFG-584 chromosome, complete genome"	Bacteroides (chromosome or plasmid): 63
UC-13-1	NODE_44_length_2250_cov_14.259002_1	Strict	ErmF	97.74	3000498	tet(X4)	Uncultured bacterium clone TG_05C_000_Contig_2 genomic sequence	Bacteroides (chromosome or plasmid): 6
UC-13-2	NODE_73_length_1716_cov_18.607465_3	Strict	ErmF	99.25	3000498	None	Uncultured bacterium clone TG_0402_Contig_39 genomic sequence	Bacteroides (chromosome or plasmid): 19
RT-9-1	NODE_35_length_1602_cov_49.157078_2	Strict	ErmF	99.25	3000498	None	Uncultured bacterium clone TG_0402_Contig_39 genomic sequence	Bacteroides (chromosome or plasmid): 38
RT-9-2	NODE_72_length_1488_cov_18.041870_2	Strict	ErmF	99.25	3000498	None	Uncultured bacterium clone TG_0402_Contig_39 genomic sequence	Bacteroides (chromosome or plasmid): 12
RT-10-1	NODE_142_length_839_cov_1221.494898_1	Strict	ErmF	98.5	3000498	None	Parabacteroides distasonis strain FDAARGOS_615 chromosome	Bacteroides (chromosome or plasmid): 232
RT-10-2	NODE_653_length_1532_cov_37.329722_1	Strict	ErmF	99.62	3000498	None	"Bacteroides xylanisolvens strain BFG-514 chromosome, complete"	Bacteroides (chromosome or plasmid): 19
RT-11-2	NODE_152_length_791_cov_4.237772_1	Strict	ErmF	98.83	3000498	None	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,"	None
UC-14-1	NODE_28_length_2006_cov_505.669400_2	Strict	ErmF	99.25	3000498	None	Uncultured bacterium clone TG_0402_Contig_39 genomic sequence	Bacteroides (chromosome or plasmid): 457
UC-14-2	NODE_47_length_2015_cov_65.866327_2	Strict	ErmF	99.25	3000498	None	Uncultured bacterium clone TG_0402_Contig_39 genomic sequence	Bacteroides (chromosome or plasmid): 42
UC-15-2	NODE_29_length_2223_cov_193.073339_2	Strict	ErmF	99.25	3000498	None	Uncultured bacterium clone TG_0402_Contig_39 genomic sequence 	Bacteroides (chromosome or plasmid): 194
RT-12-2	NODE_15_length_3831_cov_245.158633_2	Strict	ErmF	98.5	3000498	tetQ	"Bacteroides fragilis strain BFG-584 chromosome, complete genome"	Parabacteroides distasonis (chromosome or plasmid): 2
UC-18-1	NODE_135_length_1283_cov_9.820847_1	Strict	ErmF	99.62	3000498	None	Uncultured bacterium clone TG_05B_000_Contig_2 genomic sequence	Bacteroides ovatus (chromosome or plasmid): 3
UC-18-2	NODE_98_length_3312_cov_78.907584_2	Strict	ErmF	99.62	3000498	tetX	Uncultured bacterium clone TG_05B_000_Contig_2 genomic sequence	Bacteroides (chromosome or plasmid): 54
UC-19-2	NODE_115_length_983_cov_2.267241_2	Strict	ErmF	99.25	3000498	None	"Bacteroides fragilis strain DCMOUH0042B chromosome, complete.."	Bacteroides fragilis (chromosome or plasmid): 1
UC-20-2	NODE_140_length_890_cov_484.113772_1	Strict	ErmF	99.62	3000498	None	"Bacteroides fragilis strain FDAARGOS_763 plasmid unnamed2,"	Bacteroides (chromosome or plasmid): 190
RT-14-1	NODE_31_length_2384_cov_1556.963504_1	Strict	ErmF	98.5	3000498	None	Parabacteroides distasonis strain FDAARGOS_615 chromosome	Riemerella anatipestifer (chromosome or plasmid): 17
RT-14-2	NODE_13_length_4102_cov_154.557450_1	Strict	ErmF	98.5	3000498	ErmA	"Staphylococcus aureus strain SR153 chromosome, complete genome"	Bacteroides ovatus (chromosome): 2
RT-17-2	NODE_22_length_2626_cov_572.063011_2	Strict	ErmG	99.18	3000522	None	"Christensenella sp. Marseille-P3954 genome assembly, chromosom"	Klebsiella pneumoniae (chromosome): 340
RT-18-2	NODE_62_length_1534_cov_42.874239_2	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome 	None
UC-23-1	NODE_460_length_1883_cov_9.504923_2	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome 	None
UC-23-2	NODE_66_length_1280_cov_6.588571_1	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome  	None
UC-24-2	NODE_209_length_792_cov_3.914518_1	Strict	ErmG	99.18	3000522	None	"Clostridioides difficile strain Z31, complete genome"	None
RT-25-2	NODE_337_length_2144_cov_279.075634_2	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome 	None
RT-26-2	NODE_261_length_1156_cov_6.168029_2	Strict	ErmG	98.77	3000522	None	"Uncultured bacterium clone IP_UpxY-cmeABC integrase, UpxY, GNA"	None
RT-29-2	NODE_96_length_1400_cov_12.715985_1	Strict	ErmG	99.18	3000522	None	"Clostridioides difficile strain Z31, complete genome"	None
UC-27-1	NODE_8_length_5181_cov_519.598127_6	Strict	ErmG	99.18	3000522	eptA	"Escherichia coli strain 1190 chromosome, complete genome"	Bacteroides ovatus (chromosome): 1
UC-27-2	NODE_5_length_5664_cov_150.204314_5	Strict	ErmG	98.77	3000522	"CfxA2, tetQ"	"Bacteroides xylanisolvens strain BFG-514 chromosome, complete"	Bacteroides ovatus (chromosome): 317
RT-30-2	NODE_109_length_1737_cov_231.055886_2	Strict	ErmG	99.18	3000522	None	Clostridioides difficile Cd-13Lar ermG-carrying contig genomic	None
RT-31-2	NODE_282_length_1362_cov_13.377200_2	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome  	None
UC-30-2	NODE_95_length_1196_cov_72.234882_1	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome    	Klebsiella pneumoniae (chromosome): 10
UC-31-1	NODE_113_length_1199_cov_5.513112_1	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome   	None
UC-31-2	NODE_50_length_1818_cov_13.841180_2	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome  	None
RT-33-1	NODE_90_length_1460_cov_124.543772_1	Strict	ErmG	99.59	3000522	None	"Uncultured bacterium clone IP_UpxY-ErmG integrase, UpxY,."	Bacteroides ovatus (chromosome): 181
RT-34-1	NODE_35_length_2329_cov_99.627529_2	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome  	Bacteroides ovatus (chromosome): 2
RT-34-2	NODE_1300_length_1229_cov_10.337308_1	Strict	ErmG	99.18	3000522	None	"Uncultured bacterium clone IP_UpxY-cmeABC integrase, UpxY, GNA"	None
UC-1-1	NODE_227_length_1051_cov_3.095382_1	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome 	None
UC-1-2	NODE_6_length_8899_cov_188.980891_2	Strict	ErmG	99.18	3000522	mdtG	"Bacteroides salyersiae strain CL06T03C19 chromosome, complete..."	None
UC-2-2	NODE_114_length_1031_cov_12.077869_2	Strict	ErmG	99.18	3000522	None	"Christensenella sp. Marseille-P3954 genome assembly, chromosom."	Klebsiella pneumoniae (chromosome): 1
RT-2-2	NODE_54_length_1667_cov_75.755583_1	Strict	ErmG	99.18	3000522	None	"Clostridioides difficile strain Z31, complete genome"	None
RT-3-1	NODE_424_length_1356_cov_12.815527_1	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome	None
RT-3-2	NODE_15_length_3812_cov_153.723450_2	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome	None
RT-4-1	NODE_80_length_1314_cov_10.962669_1	Strict	ErmG	99.18	3000522	None	acteroides sp. DH3716P chromosome	None
RT-4-2	NODE_58_length_1434_cov_27.519217_1	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome 	None
RT-5-2	NODE_95_length_1197_cov_445.396673_1	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome 	Bacteroides ovatus (chromosome): 1
UC-3-2	NODE_27_length_2097_cov_334.024486_2	Strict	ErmG	98.77	3000522	None	"Uncultured bacterium clone IP_UpxY-cmeABC integrase, UpxY, GNA"	Phocaeicola dorei (chromosome): 1
UC-6-2	NODE_127_length_1478_cov_24.937456_2	Strict	ErmG	99.18	3000522	None	"Christensenella sp. Marseille-P3954 genome assembly, chromosom."	None
UC-7-2	NODE_830_length_1425_cov_17.967883_2	Strict	ErmG	98.77	3000522	None	"Clostridioides difficile strain Z31, complete genome        "	None
RT-6-2	NODE_44_length_1871_cov_387.001101_2	Strict	ErmG	99.18	3000522	None	Clostridioides difficile Cd-13Lar ermG-carrying contig genomic	Phocaeicola dorei (chromosome): 2
UC-9-1	NODE_800_length_877_cov_6.737226_1	Strict	ErmG	99	3000522	None	"PA: Siphoviridae sp. isolate ctUvR2, partial genome "	None
UC-9-2	NODE_48_length_1856_cov_25.489728_1	Strict	ErmG	99.18	3000522	None	Enterococcus cecorum strain SA3 genome	None
RT-8-2	NODE_72_length_1152_cov_28.978122_1	Strict	ErmG	99.18	3000522	None	Clostridioides difficile Cd-13Lar ermG-carrying contig genomic	None
UC-11-2	NODE_95_length_991_cov_4.689103_2	Strict	ErmG	98.71	3000522	None	Clostridioides difficile Cd-13Lar ermG-carrying contig genomic	None
RT-9-2	NODE_70_length_1499_cov_4.586565_2	Strict	ErmG	98.77	3000522	None	"Clostridioides difficile strain Z31, complete genome"	None
RT-10-1	NODE_50_length_1617_cov_90.149168_2	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome	None
RT-10-2	NODE_544_length_1749_cov_4.167060_1	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome	None
RT-12-1	NODE_91_length_1279_cov_23.463235_2	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome	None
RT-12-2	NODE_368_length_1479_cov_28.323736_1	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome	None
UC-17-2	NODE_30_length_1022_cov_68.898888_1	Strict	ErmG	99.18	3000522	None	Clostridioides difficile Cd-13Lar ermG-carrying contig genomic	None
RT-13-2	NODE_42_length_2169_cov_24.601703_2	Strict	ErmG	99.18	3000522	None	"Uncultured bacterium clone IP_UpxY-cmeABC integrase, UpxY, GNA."	None
UC-20-2	NODE_40_length_1824_cov_315.895421_2	Strict	ErmG	99.18	3000522	None	Bacteroides sp. DH3716P chromosome 	None
RT-15-2	NODE_76_length_1384_cov_5.082017_2	Strict	ErmG	98.77	3000522	None	"Uncultured bacterium clone IP_UpxY-cmeABC integrase, UpxY, GNA"	None
RT-16-1	NODE_966_length_728_cov_1.438336_1	Strict	ErmQ	99.07	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
RT-16-2	NODE_87_length_1714_cov_6.242315_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
RT-17-2	NODE_41_length_1915_cov_88.674731_1	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
RT-18-2	NODE_163_length_1172_cov_2.849597_1	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
RT-20-2	NODE_58_length_1583_cov_9.183901_1	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
UC-23-2	NODE_2_length_4453_cov_1130.621419_4	Perfect	ErmQ	100	3000593	CfxA2	Parabacteroides distasonis ATCC 8503 isolate Parabacteroides	None
RT-23-2	NODE_841_length_935_cov_2.943182_1	Strict	ErmQ	99.57	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
UC-24-2	NODE_83_length_1366_cov_9.755149_2	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
RT-24-2	NODE_95_length_999_cov_3.934322_1	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
RT-27-2	NODE_46_length_1373_cov_2.855842_1	Perfect	ErmQ	100	3000593	None	"Clostridium perfringens JUM001 DNA, complete genome "	None
RT-29-2	NODE_51_length_2003_cov_160.754620_1	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
UC-27-2	NODE_9_length_4674_cov_236.940680_3	Perfect	ErmQ	100	3000593	tetM	"Streptococcus suis strain HA1003 chromosome, complete genome "	None
RT-31-2	NODE_219_length_1488_cov_10.836706_2	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
UC-30-1	NODE_39_length_1441_cov_11.987013_2	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
UC-30-2	NODE_37_length_1883_cov_44.558534_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
UC-31-2	NODE_64_length_1521_cov_27.127558_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
UC-32-2	NODE_87_length_1666_cov_21.343886_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
RT-32-2	NODE_137_length_940_cov_1053.988701_1	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
RT-33-2	NODE_55_length_1673_cov_15.550680_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
RT-34-2	NODE_1161_length_1322_cov_11.888713_2	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
UC-2-2	NODE_54_length_1760_cov_37.697947_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple."	None
RT-2-2	NODE_68_length_1380_cov_10.163774_1	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
RT-3-2	NODE_135_length_1069_cov_4.114398_1	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet."	None
RT-5-2	NODE_253_length_749_cov_1.459654_1	Strict	ErmQ	99.58	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
UC-4-2	NODE_67_length_1706_cov_31.593580_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple..."	None
UC-5-2	NODE_59_length_1371_cov_3.087386_2	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
UC-6-2	NODE_46_length_2165_cov_141.483412_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
UC-7-2	NODE_1079_length_1160_cov_1.777376_1	Strict	ErmQ	100	3000593	None	"Clostridium perfringens JUM001 DNA, complete genome"	None
UC-8-2	NODE_50_length_1471_cov_14.757768_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
RT-7-2	NODE_74_length_2163_cov_85.097249_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
UC-9-1	NODE_291_length_1466_cov_21.310418_2	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
UC-9-2	NODE_47_length_1874_cov_48.561847_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
RT-8-2	NODE_29_length_2062_cov_102.378675_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
UC-11-2	NODE_68_length_1442_cov_10.539293_2	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
UC-12-2	NODE_90_length_1686_cov_31.213366_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
RT-9-2	NODE_76_length_1439_cov_8.477601_2	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
UC-14-2	NODE_64_length_1408_cov_8.054693_2	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
UC-15-2	NODE_65_length_1088_cov_3.506292_1	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
UC-16-2	NODE_387_length_999_cov_1.929025_1	Strict	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
RT-12-2	NODE_370_length_1476_cov_39.406756_2	Perfect	ErmQ	100	3000593	None	"Intestinibacter bartlettii strain DSM 16795 chromosome, comple"	None
UC-17-2	NODE_5_length_4565_cov_549.575022_1	Strict	ErmQ	100	3000593	PmrF	"Escherichia coli strain KL53 chromosome, complete genome"	None
RT-13-2	NODE_174_length_1183_cov_7.683511_2	Perfect	ErmQ	100	3000593	None	"Peptacetobacter hiranonis strain DSM 13275 chromosome, complet"	None
