ARO	Gene Name	Antibiotics	Resistance Mechanism	AMR gene Family	Description	Species	Neg-ext-1	Neg-ext-2	Neg-ext-3	Neg-ext-7	Neg-ext-8
3000074	emrB	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	"emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP), nalidixic acid, and thioloactomycin."	Escherichia coli str. K-12 substr. MG1655	1	1	1	1	1
3000206	emrK	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	"emrK is a membrane fusion protein that is a homolog of EmrA. Together with the inner membrane transporter EmrY and the outer membrane channel TolC, it mediates multidrug efflux."	Escherichia coli	0	1	1	1	0
3000254	emrY	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	emrY is a multidrug transport that moves substrates across the inner membrane of the Gram-negative E. coli. It is a homolog of emrB.	Escherichia coli	1	1	1	1	0
3003576	eptA	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	"PmrC mediates the modification of Lipid A by the addition of 4-amino-4-deoxy-L-arabinose (L-Ara4N) and phosphoethanolamine, resulting in a less negative cell membrane and decreased binding of polymyxin B."	Escherichia coli str. K-12 substr. W3110	1	1	1	1	0
3000347	ErmA	streptogramin A antibiotic; macrolide antibiotic; lincosamide antibiotic; streptogramin B antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	"ErmA confers the MLSb phenotype. Similar to ErmC, Expression of ErmA is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmA."	Staphylococcus aureus	0	0	1	0	0
3000250	ErmC	streptogramin A antibiotic; macrolide antibiotic; lincosamide antibiotic; streptogramin B antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	"ErmC is a methyltransferase that catalyzes the methylation of A2058 of the 23S ribosomal RNA in two steps. Expression of ErmC is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmC."	Staphylococcus epidermidis	1	0	0	0	0
3000498	ErmF	streptogramin A antibiotic; macrolide antibiotic; lincosamide antibiotic; streptogramin B antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	ErmF confers the MLSb phenotype.	Bacteroides fragilis	0	1	1	1	0
3000522	ErmG	streptogramin A antibiotic; macrolide antibiotic; lincosamide antibiotic; streptogramin B antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.	Bacteroides thetaiotaomicron	0	1	0	0	0
3000595	ErmT	streptogramin A antibiotic; macrolide antibiotic; lincosamide antibiotic; streptogramin B antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	ErmT confers MLSb phenotype.	Plasmid pGT633	1	1	1	0	0
3000596	ErmX	streptogramin A antibiotic; macrolide antibiotic; lincosamide antibiotic; streptogramin B antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	ErmX is a rRNA methyltransferase that protects the ribosome from inactivation due to antibiotic binding.	Plasmid pNG2	0	1	1	0	0
3004043	Escherichia coli acrA	penam; disinfecting agents and antiseptics; tetracycline antibiotic; cephalosporin; glycylcycline; fluoroquinolone antibiotic; rifamycin antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	AcrA is a subunit of the AcrAB-TolC multidrug efflux system that in E. coli.	Escherichia coli str. K-12 substr. MG1655	1	1	1	0	0
3003807	"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime"	tetracycline antibiotic; phenicol antibiotic; rifamycin antibiotic; glycylcycline; penam; cephalosporin; disinfecting agents and antiseptics; fluoroquinolone antibiotic	antibiotic efflux; antibiotic target alteration	resistance-nodulation-cell division (RND) antibiotic efflux pump	AcrR is a repressor of the AcrAB-TolC multidrug efflux complex. AcrR mutations result in high level antibiotic resistance. The mutations associated with this model are specific to E. coli.	Escherichia coli	1	1	1	0	1
3004039	Escherichia coli emrE	macrolide antibiotic	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	Member of the small MDR (multidrug resistance) family of transporters; in Escherichia coli this protein provides resistance against a number of positively charged compounds including ethidium bromide and erythromycin; proton-dependent secondary transporter which exchanges protons for compound translocation.	Escherichia coli	1	1	1	1	0
3003378	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	tetracycline antibiotic; disinfecting agents and antiseptics; cephalosporin; penam; rifamycin antibiotic; phenicol antibiotic; glycylcycline; fluoroquinolone antibiotic	antibiotic efflux; antibiotic target alteration	resistance-nodulation-cell division (RND) antibiotic efflux pump	"MarR is a repressor of the mar operon marRAB, thus regulating the expression of marA, the activator of multidrug efflux pump AcrAB."	Escherichia coli	1	1	1	1	0
3001328	Escherichia coli mdfA	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	Multidrug efflux pump in E. coli. This multidrug efflux system was originally identified as the Cmr/CmlA chloramphenicol exporter.	Escherichia coli	1	1	1	1	0
3000832	evgA	penam; macrolide antibiotic; tetracycline antibiotic; fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	"EvgA, when phosphorylated, is a positive regulator for efflux protein complexes emrKY and mdtEF. While usually phosphorylated in a EvgS dependent manner, it can be phosphorylated in the absence of EvgS when overexpressed.; EvgA, when phosphorylated, is a positive regulator for efflux protein complexes emrKY and mdtEF. While usually phosphorylated in a EvgS dependent manner, it can be phosphorylated in the absence of EvgS when overexpressed."	Escherichia coli O157:H7 str. Sakai	1	1	1	1	0
3000833	evgS	penam; macrolide antibiotic; tetracycline antibiotic; fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	EvgS is a sensor protein that phosphorylates the regulatory protein EvgA. evgS corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.; EvgS is a sensor protein that phosphorylates the regulatory protein EvgA. evgS corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.	Escherichia coli str. K-12 substr. MG1655	1	1	1	1	0
3002804	FosA2	fosfomycin	antibiotic inactivation	fosfomycin thiol transferase	An enzyme that confers resistance to fosfomycin in Enterobacter cloacae by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule.	Enterobacter cloacae	1	1	0	0	0
3002872	FosA3	fosfomycin	antibiotic inactivation	fosfomycin thiol transferase	An enzyme that confers resistance to fosfomycin in Escherichia coli by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule.	Escherichia coli	1	0	0	0	0
3003209	fosA5	fosfomycin	antibiotic inactivation	fosfomycin thiol transferase	"fosA5 is a fosfomycin resistance gene isolated from clinical strain of Escherichia coli E265. It is susceptible to amikacin, tetracycline and imipenem, and resistant to sulphonamide, cephalosporins, gentamicin, ciprofloxacin, chloramphenicol and streptomycin."	Escherichia coli	0	1	0	0	0
3004111	FosA6	fosfomycin	antibiotic inactivation	fosfomycin thiol transferase	FosA6 is a plasmid-encoded enzyme that confers resistance to fosfomycin in Escherichia coli by breaking the epoxide ring of the molecule.	Escherichia coli	1	0	1	0	1
3000508	gadX	penam; macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	GadX is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance.	Escherichia coli str. K-12 substr. W3110	1	1	1	1	1
3002334	GES-5	carbapenem; penam; cephalosporin	antibiotic inactivation	GES beta-lactamase	GES-5 is a beta-lactamase found in the Enterobacteriaceae family.	Escherichia coli	0	0	1	1	1
3000676	H-NS	penam; macrolide antibiotic; cephalosporin; cephamycin; tetracycline antibiotic; fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	"H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE, mdtE, and emrK as well as nearby genes of many RND-type multidrug exporters.; H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE, mdtE, and emrK as well as nearby genes of many RND-type multidrug exporters."	Escherichia coli O157:H7 str. Sakai	1	1	1	1	1
3004588	Klebsiella pneumoniae KpnG	penem; cephalosporin; macrolide antibiotic; carbapenem; aminoglycoside antibiotic; peptide antibiotic; penam; fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	"KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin, ceftazidime, ciprofloxacin, ertapenem, erythromycin, gentamicin, imipenem, ticarcillin, norfloxacin, polymyxin-B, piperacillin, spectinomycin, tobramycin, and streptomycin."	Klebsiella sp. 4_1_44FAA	0	1	1	0	0
3004597	Klebsiella pneumoniae KpnH	penem; cephalosporin; macrolide antibiotic; carbapenem; aminoglycoside antibiotic; peptide antibiotic; penam; fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	"KpnH consists of ~511 residues, resembles EmrB of E. coli, and is probably a translocase in the KpnGH-TolC efflux protein in K. pneumoniae. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin, ceftazidime, ciprofloxacin, ertapenem, erythromycin, gentamicin, imipenem, ticarcillin, norfloxacin, polymyxin-B, piperacillin, spectinomycin, tobramycin, and streptomycin."	Escherichia coli KTE14	0	0	1	0	0
3002671	Limosilactobacillus reuteri cat-TC	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)	cat-TC is a plasmid-encoded variant of the cat gene found in Limosilactobacillus reuteri.	Limosilactobacillus reuteri	0	0	1	1	0
3002835	lnuA	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)	lnuA is a plasmid-mediated nucleotidyltransferase found in Staphylococcus chromogenes.	Staphylococcus haemolyticus	0	1	0	0	0
3002837	lnuC	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)	lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.	Streptococcus agalactiae	0	0	1	0	0
3000300	lsaA	streptogramin B antibiotic; pleuromutilin antibiotic; streptogramin A antibiotic; streptogramin antibiotic; lincosamide antibiotic	antibiotic target protection	lsa-type ABC-F protein	"LsaA is an ABC-F subfamily protein expressed in Enterococcus faecalis. It confers resistance to clindamycin, quinupristin-dalfopristin, and dalfopristin."	Enterococcus faecalis ATCC 29212	0	1	0	0	0
3000263	marA	penem; tetracycline antibiotic; carbapenem; cephalosporin; disinfecting agents and antiseptics; penam; cephamycin; glycylcycline; monobactam; fluoroquinolone antibiotic; phenicol antibiotic; rifamycin antibiotic	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	"In the presence of antibiotic stress, E. coli overexpresses the global activator protein MarA, which besides inducing MDR efflux pump AcrAB, also down- regulates synthesis of the porin OmpF.; In the presence of antibiotic stress, E. coli overexpresses the global activator protein MarA, which besides inducing MDR efflux pump AcrAB, also down- regulates synthesis of the porin OmpF."	Escherichia coli str. K-12 substr. W3110	1	1	1	1	0
3000795	mdtE	penam; macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MdtE is the membrane fusion protein of the MdtEF multidrug efflux complex. It shares 70% sequence similarity with AcrA.	Escherichia coli str. K-12 substr. W3110	1	1	1	1	1
3000796	mdtF	penam; macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MdtF is the multidrug inner membrane transporter for the MdtEF-TolC efflux complex.	Escherichia coli str. K-12 substr. MG1655	1	1	1	1	0
3001329	mdtG	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	"The MdtG protein, also named YceE, appears to be a member of the major facilitator superfamily of transporters, and it has been reported, when overexpressed, to increase fosfomycin and deoxycholate resistances. mdtG is a member of the marA-soxS-rob regulon."	Escherichia coli O139:H28 str. E24377A	1	1	1	1	0
3001216	mdtH	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	Multidrug resistance protein MdtH.	Escherichia coli str. K-12 substr. MG1655	1	1	1	1	0
3001214	mdtM	disinfecting agents and antiseptics; nucleoside antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	Multidrug resistance protein MdtM.	Escherichia coli str. K-12 substr. MG1655	0	1	1	1	0
3003548	mdtN	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	"Multidrug resistance efflux pump. Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride."	Escherichia coli str. K-12 substr. W3110	1	1	1	1	0
3003549	mdtO	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	"Multidrug resistance efflux pump. Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride."	Escherichia coli str. K-12 substr. W3110	1	1	1	1	0
3003550	mdtP	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	"Multidrug resistance efflux pump. Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride."	Escherichia coli str. K-12 substr. W3110	1	1	1	1	1
3000316	mphA	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)	"The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin, telithromycin, roxithromycin) over 16-membered macrolides (e.g.tylosin, spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner."	Escherichia coli	1	1	1	1	0
3000819	nalD	"peptide antibiotic; penam; sulfonamide antibiotic; diaminopyrimidine antibiotic; fluoroquinolone antibiotic; aminocoumarin antibiotic; cephalosporin, monobactam; macrolide antibiotic; tetracycline antibiotic; phenicol antibiotic; carbapenem; penem; cephamycin"	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	NalD is a repressor of MexAB-OprM. Mutations lead to multidrug resistance and MexAB-OprM overexpression.	Pseudomonas aeruginosa PAO1	0	0	1	0	0
